group,district,union,start_page,end_page,rows,category_counts
334,SIVAGANGAI DISTRICT,Sivagangai Panchayat Union,136,136,43,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 13, 'general': 25}"
335,SIVAGANGAI DISTRICT,Kalayarkovil Panchayat Union,136,136,43,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 12, 'general': 24}"
336,SIVAGANGAI DISTRICT,Manamadurai Panchayat Union,137,137,39,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 10, 'general': 20}"
337,SIVAGANGAI DISTRICT,Thiruppuvanam Panchayat Union,137,137,45,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 11, 'general': 23}"
338,SIVAGANGAI DISTRICT,Ilayangudi Panchayat Union,137,138,55,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 15, 'general': 28}"
339,SIVAGANGAI DISTRICT,Devakottai Panchayat Union,138,138,42,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 10, 'general': 22}"
340,SIVAGANGAI DISTRICT,Kannangudi Panchayat Union,138,139,17,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 4, 'general': 7}"
341,SIVAGANGAI DISTRICT,Kallal Panchayat Union,139,139,44,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 12, 'general': 25}"
342,SIVAGANGAI DISTRICT,Sakkottai Panchayat Union,139,139,26,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 7, 'general': 15}"
343,SIVAGANGAI DISTRICT,Thiruppathur Panchayat Union,139,140,40,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 12, 'general': 22}"
344,SIVAGANGAI DISTRICT,Singampunari Panchayat Union,140,140,30,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 8, 'general': 18}"
345,SIVAGANGAI DISTRICT,S - Pudur Panchayat Union,140,140,21,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 12}"
346,Tirunelveli District,VASUDEVANALLUR PANCHAYAT UNION,141,141,22,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 5, 'general': 10}"
347,Tirunelveli District,SANKARANKOVIL PANCHAYAT UNION,141,141,28,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 6, 'general': 14}"
348,Tirunelveli District,KURUVIKULAM PANCHAYAT UNION,141,142,43,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 10, 'general': 19}"
349,Tirunelveli District,MELANEELITHANALLUR PANCHAYAT UNION,142,142,25,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 7, 'general': 14}"
350,Tirunelveli District,KADAYANALLUR PANCHAYAT UNION,142,142,16,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
351,Tirunelveli District,SHENKOTTAI PANCHAYAT UNION,142,142,6,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 1, 'general': 3}"
352,Tirunelveli District,TENKASI PANCHAYAT UNION,142,142,14,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 3, 'general': 7}"
353,Tirunelveli District,KEELAPAVOOR PANCHAYAT UNION,143,143,21,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 6, 'general': 13}"
354,Tirunelveli District,ALANKULAM PANCHAYAT UNION,143,143,28,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 8, 'general': 16}"
355,Tirunelveli District,MANUR PANCHAYAT UNION,143,144,41,"{'scwomen': 5, 'scgeneral': 8, 'generalwomen': 9, 'general': 19}"
356,Tirunelveli District,PAPPAKKUDI PANCHAYAT UNION,144,144,15,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 9}"
357,Tirunelveli District,KADAYAM PANCHAYAT UNION,144,144,23,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 13}"
358,Tirunelveli District,AMBASAMUDRAM PANCHAYAT UNION,144,144,12,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 7}"
359,Tirunelveli District,CHERANMAHADEVI PANCHAYAT UNION,144,144,12,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 3, 'general': 6}"
360,Tirunelveli District,PALAYAMKOTTAI PANCHAYAT UNION,144,145,30,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 7, 'general': 15}"
361,Tirunelveli District,NANGUNERI PANCHAYAT UNION,145,145,27,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 15}"
362,Tirunelveli District,KALAKADU PANCHAYAT UNION,145,145,17,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 5, 'general': 10}"
363,Tirunelveli District,VALLIYOOR PANCHAYAT UNION,145,145,18,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 5, 'general': 11}"
364,Tirunelveli District,RADHAPURAM PANCHAYAT UNION,146,146,27,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 7, 'general': 16}"
365,THOOTHUKUDI DISTRICT,THOOTHUKUDI PANCHAYAT UNION,147,147,20,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 6, 'general': 9}"
366,THOOTHUKUDI DISTRICT,KARUNGULAM PANCHAYAT UNION,147,147,31,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 15}"
367,THOOTHUKUDI DISTRICT,SRIVAIKUNDAM PANCHAYAT UNION,147,148,31,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 8, 'general': 16}"
368,THOOTHUKUDI DISTRICT,ALWARTHIRUNAGARI PANCHAYAT UNION,148,148,30,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 8, 'general': 16}"
369,THOOTHUKUDI DISTRICT,TIRUCHENDUR PANCHAYAT UNION,148,148,11,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 2, 'general': 5}"
370,THOOTHUKUDI DISTRICT,UDANGUDI PANCHAYAT UNION,148,148,17,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 5, 'general': 10}"
371,THOOTHUKUDI DISTRICT,SATHNKULAM PANCHAYAT UNION,148,148,24,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 7, 'general': 15}"
372,THOOTHUKUDI DISTRICT,KOVILPATTI PANCHAYAT UNION,148,149,38,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 10, 'general': 19}"
373,THOOTHUKUDI DISTRICT,KAYATHAR PANCHAYAT UNION,149,149,45,"{'scwomen': 5, 'scgeneral': 8, 'generalwomen': 10, 'general': 22}"
374,THOOTHUKUDI DISTRICT,VILATHIKULAM PANCHAYAT UNION,149,150,51,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 13, 'general': 26}"
375,THOOTHUKUDI DISTRICT,PUDUR PANCHAYAT UNION,150,150,44,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 12, 'general': 23}"
376,THOOTHUKUDI DISTRICT,OTTAPIDARAM PANCHAYAT UNION,150,151,61,"{'scwomen': 9, 'scgeneral': 16, 'generalwomen': 12, 'general': 24}"
377,KANNIYAKUMARI DISTRICT,Agastheeswaram Panchayat Union,152,152,12,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 6}"
378,KANNIYAKUMARI DISTRICT,Thovalai Panchayat Union,152,152,16,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 5, 'general': 9}"
379,KANNIYAKUMARI DISTRICT,Rajakkamangalam Panchayat Union,152,152,12,"{'scgeneral': 1, 'generalwomen': 3, 'general': 8}"
380,KANNIYAKUMARI DISTRICT,Kurunthencode Panchayat Union,152,152,9,"{'generalwomen': 3, 'general': 6}"
381,KANNIYAKUMARI DISTRICT,Thuckalay Panchayat Union,152,152,7,"{'generalwomen': 3, 'general': 4}"
382,KANNIYAKUMARI DISTRICT,Thiruvattar Panchayat Union,152,152,10,"{'generalwomen': 4, 'general': 6}"
383,KANNIYAKUMARI DISTRICT,Killiyoor Panchayat Union,152,152,8,"{'generalwomen': 3, 'general': 5}"
384,KANNIYAKUMARI DISTRICT,Melpuram Panchayat Union,152,153,10,"{'generalwomen': 4, 'general': 6}"
385,KANNIYAKUMARI DISTRICT,Munchirai Panchayat Union,153,153,11,"{'generalwomen': 4, 'general': 7}"
